Name,Location,Open Year-Round,Handicap Accessible,Borough
Franz Sigel Park,"East 153 Street, Gerard Avenue, East 151 Street, Walton Avenue",Yes,Yes,Bronx
Frederick B. Judge Memorial Playground,"111 Avenue, 134 & 135 streets, Lincoln Street",Yes,No,Queens
Frederick Douglass Playground,West 100-101 Street Amsterdam Avenue,Yes,No,Manhattan
Frederick E. Samuel Playground,"Lenox Avenue, West 139 to West 140 streets",Yes,No,Manhattan
Frederick Johnson Park,"7 Avenue, West 150-151 streets",Yes,No,Manhattan
Fresh Meadows Playground (PS 173),67 Avenue & 173 Street,Yes,No,Queens
Friends Field,"Avenue L, East 4 Street, McDonald Avenue, Avenue M",Yes,No,Brooklyn
Fulton Park,"Fulton, Chauncey streets, Stuyvesant, Lewis avenues",Yes,No,Brooklyn
Galapo Playground,"Bedford Avenue, Gravesend Neck Road",Yes,No,Brooklyn
Garibaldi Playground,82 to 83 Street at 18 Avenue,Yes,No,Brooklyn
General Douglas MacArthur Park,East 49 Street & East River Drive,Yes,No,Manhattan
Glenwood Playground,Ralph Avenue & Farragut Road,Yes,Yes,Brooklyn
Gorman Playground,30 Avenue between 84 & 85 streets,Yes,No,Queens
Gouverneur Playground,"3rd Avenue, St. Paul's Place, East 170 Street",Yes,No,Bronx
Gowanus Playground,Wyckoff Street between Bond & Hoyt streets,Yes,No,Brooklyn
Grandview Playground,"Grandview Avenue, Continental Place",Yes,Yes,Staten Island
Gravesend Park,18 Avenue & 56 Street,Yes,No,Brooklyn
Greencroft Playground (PS 53),"Redgrave, Ainsworth & Durant avenues",Yes,No,Staten Island
Greene Playground,Greene & Washington avenues,Yes,No,Brooklyn
Greenwood Playground,"Fort Hamilton Parkway, Greenwood, East 5 Street",Yes,No,Brooklyn
Grove Hill Playground,"East 158 Street, Caldwell Avenue, Eagle Avenue",Yes,No,Bronx
Grover Cleveland Park,"Rene Court, Grandview Avenue, Stanjope Street & Fairview Avenue",Yes,No,Queens
Gun Hill Playground,"Holland Avenue, Magenta Street, Cueger Avenue",Yes,No,Bronx
Gunn Park (PS 18),"Hillside Avenue, east of 235 Court",No,No,Queens
Haffen Park,"Burke Avenue, Hammersley Avenue, Gunther Avenue, Ely Avenue",Yes,No,Bronx
Haffen Park,"Burke Avenue, Hammersley Avenue, Gunther Avenue, Ely Avenue",No,No,Bronx
Haggerty Park,202 Street & Jamaica Avenue,No,Yes,Queens
Hallets Cove Playground,"Hallets Cove, Vernon Boulevard",Yes,No,Queens
Hamilton Fish Park (Recreation Center),Between East Houston & Stanton streets,Yes,Yes,Manhattan
